bb,sport_id,np,hgnd,roe,hr,team_count,sb,player_id,avg,sf,sac,wo,hpop,so,gidp_opp,gidp,ppa,ab,hldr,d,tpa,g,h,ibb,go,sport_code,tb,ao,slg,cs,r,ops,t,hbp,rbi,babip,go_ao,hfly,obp,sport,lob,xbh
16,1,697,9,0,4,1,0,660620,.204,1,3,0,0,39,24,2,4.17,147,16,5,167,59,30,0,42,mlb,47,40,.320,0,18,.600,0,0,18,.248,1.05,5,.280,MLB,72,9
0,1,57,2,1,0,1,0,676625,.143,0,0,0,0,5,3,0,3.80,14,0,0,15,4,2,0,3,mlb,2,4,.143,0,0,.343,0,1,0,.222,0.75,0,.200,MLB,9,0
226,1,9506,126,23,93,6,5,455139,.227,18,14,5,3,638,259,44,4.01,2047,211,113,2372,687,464,2,465,mlb,866,537,.423,4,271,.744,5,67,299,.278,0.87,124,.321,MLB,909,211
0,1,0,0,0,0,1,0,650959,,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
64,1,3934,101,14,41,1,9,669720,.268,5,3,1,3,210,145,17,3.67,985,108,53,1072,270,264,0,250,mlb,450,271,.457,9,146,.778,5,15,141,.302,0.92,52,.321,MLB,378,99
0,1,0,0,0,0,1,0,607216,,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
0,1,0,0,0,0,1,0,664042,,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,mlb,0,0,,0,1,.000,0,0,0,,,0,,MLB,0,0
0,1,27,0,0,0,3,0,605347,.143,0,2,0,0,4,2,0,3.00,7,1,1,9,19,1,0,3,mlb,2,1,.286,0,1,.429,0,0,2,.333,3.00,0,.143,MLB,5,1
11,1,956,13,2,2,6,0,543475,.112,0,14,0,0,115,27,5,3.84,223,11,4,249,218,25,0,75,mlb,35,26,.157,0,16,.314,0,1,15,.217,2.88,1,.157,MLB,120,6
215,1,11116,240,20,114,1,2,641820,.272,17,0,1,3,633,351,72,3.97,2531,311,131,2798,671,689,10,730,mlb,1184,525,.468,1,347,.803,11,35,336,.319,1.39,135,.336,MLB,1000,256
20,1,1706,36,3,7,1,10,621006,.216,2,6,0,3,116,62,7,3.94,398,32,10,433,164,86,0,117,mlb,127,87,.319,3,42,.584,5,7,33,.285,1.34,15,.265,MLB,179,22
19,1,1791,25,3,8,2,28,622761,.217,1,4,1,1,140,60,5,3.86,433,53,23,464,174,94,0,90,mlb,147,114,.339,6,42,.599,3,6,32,.301,0.79,15,.259,MLB,203,34
28,1,1105,21,4,2,1,2,663630,.203,1,2,1,0,101,25,2,4.06,237,20,11,272,136,48,1,49,mlb,67,42,.283,0,30,.579,1,4,18,.341,1.17,7,.296,MLB,102,14
64,1,3771,66,6,50,1,6,663624,.270,11,0,0,1,253,118,23,3.88,891,112,40,972,237,241,3,177,mlb,433,231,.486,4,119,.806,1,6,149,.319,0.77,62,.320,MLB,369,91
106,1,5345,132,11,43,1,55,656775,.261,6,10,1,3,268,146,8,3.84,1249,127,66,1392,342,326,4,308,mlb,543,364,.435,16,172,.762,11,19,112,.300,0.85,64,.327,MLB,419,120
17,1,614,7,3,3,1,0,663527,.208,3,0,0,0,33,12,4,4.26,120,10,4,144,40,25,0,28,mlb,38,37,.317,0,19,.636,0,4,16,.253,0.76,8,.319,MLB,52,7
232,1,14885,300,36,168,3,62,596059,.232,26,12,7,7,951,524,50,3.71,3676,385,168,4009,1022,853,14,922,mlb,1583,1022,.431,50,496,.718,29,63,526,.265,0.90,161,.287,MLB,1593,365
0,1,11,0,0,0,3,0,672335,.000,0,0,0,0,0,0,0,5.50,2,0,0,2,26,0,0,2,mlb,0,0,.000,0,0,.000,0,0,0,.000,2.00,0,.000,MLB,3,0
7,1,443,7,0,1,1,0,668939,.211,0,0,0,0,21,11,1,4.26,95,12,8,104,26,20,0,22,mlb,33,32,.347,0,11,.626,1,2,4,.260,0.69,1,.279,MLB,43,10
87,1,5737,88,7,63,1,3,623993,.247,10,2,1,2,296,231,19,4.05,1302,159,71,1416,350,322,4,276,mlb,588,421,.452,6,164,.751,3,15,185,.272,0.66,73,.300,MLB,602,137
0,1,0,0,0,0,1,0,622253,,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
41,1,2072,41,4,14,1,1,602104,.263,2,1,3,0,130,63,6,4.05,460,61,26,511,144,121,0,123,mlb,189,89,.411,2,58,.742,0,7,59,.336,1.38,19,.331,MLB,202,40
0,1,48,1,0,0,1,0,608723,.154,0,1,0,0,5,2,0,3.20,13,0,0,15,58,2,0,3,mlb,2,4,.154,0,1,.368,0,1,1,.250,0.75,1,.214,MLB,6,0
0,1,0,0,0,0,1,0,669330,,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
0,1,16,0,0,0,1,0,669145,.000,0,0,0,0,3,0,0,4.00,4,0,0,4,2,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,.000,1.00,0,.000,MLB,1,0
34,1,2237,52,6,18,4,5,624414,.227,2,3,0,1,138,61,8,3.83,533,48,25,584,176,121,1,168,mlb,202,115,.379,2,61,.665,1,11,70,.272,1.46,20,.286,MLB,203,44
0,1,3,0,0,0,1,0,598264,.000,0,0,0,0,1,0,0,3.00,1,0,0,1,26,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,0,0
429,1,20418,485,57,147,1,69,593428,.292,39,5,5,4,927,742,105,4.05,4531,611,290,5044,1182,1324,19,1236,mlb,2085,1161,.460,15,710,.816,15,40,641,.337,1.06,224,.356,MLB,1923,452
345,1,15372,282,34,105,2,69,598265,.229,22,7,1,1,1002,497,57,3.92,3482,361,190,3920,1069,799,17,998,mlb,1358,754,.390,17,485,.699,27,64,427,.290,1.32,155,.309,MLB,1599,322
0,1,0,0,0,0,1,0,518489,,0,0,0,0,0,0,0,,0,0,0,0,11,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
50,1,2443,30,6,16,3,10,614173,.223,3,3,1,0,201,54,3,4.07,543,62,27,600,187,121,0,131,mlb,206,97,.379,4,76,.667,5,1,65,.319,1.35,29,.288,MLB,217,48
54,1,3000,37,3,38,1,3,666915,.234,3,0,0,1,250,88,5,4.05,671,67,30,740,220,157,1,120,mlb,313,147,.466,0,85,.768,6,12,111,.308,0.82,52,.301,MLB,344,74
1,1,18,0,0,0,3,0,656354,.000,0,0,0,0,3,0,0,4.50,3,0,0,4,56,0,0,0,mlb,0,0,.000,0,0,.250,0,0,0,,,0,.250,MLB,3,0
199,1,9884,223,23,128,1,23,646240,.285,8,1,3,2,559,365,48,3.74,2416,301,169,2642,616,688,26,631,mlb,1255,561,.519,16,408,.862,7,18,410,.322,1.12,162,.343,MLB,1034,304
0,1,4,0,0,0,5,0,518617,.000,0,0,0,0,1,0,0,4.00,1,0,0,1,218,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,1,0
