sport_id,league_short,hr,team_id,season,ab,hldr,league,sport_code,ao,slg,team_full,ops,team_abbrev,hbp,rbi,go_ao,hfly,lob,xbh,end_date,bb,np,hgnd,roe,sb,player_id,avg,sf,sac,wo,team_short,hpop,so,gidp_opp,gidp,ppa,d,tpa,league_full,g,h,ibb,go,team_seq,tb,cs,r,t,babip,obp,sport,league_id
1,American,5,111,2022,174,17,AL,mlb,49,.339,Boston Red Sox,.621,BOS,3,17,0.73,10,91,12,2022-06-23T00:00:00,16,783,9,3,1,666915,.207,2,0,0,Boston,0,55,26,2,4.02,6,195,American League,64,36,0,36,1.0,59,0,22,1,.267,.282,MLB,103
1,American,16,111,2022,274,42,AL,mlb,60,.599,Boston Red Sox,.981,BOS,4,43,1.20,23,99,41,2022-06-23T00:00:00,20,1046,25,3,2,646240,.328,0,0,0,Boston,0,52,42,5,3.51,24,298,American League,68,90,3,72,1.0,164,0,53,1,.359,.383,MLB,103
1,American,0,111,2022,4,0,AL,mlb,1,.000,Boston Red Sox,.000,BOS,0,0,0.00,0,5,0,2022-06-23T00:00:00,0,15,0,0,0,669023,.000,0,0,0,Boston,0,3,1,0,3.75,0,4,American League,1,0,0,0,1.0,0,0,0,0,.000,.000,MLB,103
1,American,0,111,2022,37,5,AL,mlb,8,.486,Boston Red Sox,.852,BOS,1,2,1.00,1,13,5,2022-06-23T00:00:00,3,162,5,1,2,680776,.297,0,0,0,Boston,0,10,4,0,3.95,3,41,American League,10,11,0,8,1.0,18,0,8,2,.407,.366,MLB,103
1,American,4,111,2022,215,21,AL,mlb,87,.340,Boston Red Sox,.613,BOS,2,24,0.55,10,84,20,2022-06-23T00:00:00,18,823,14,1,0,571771,.209,3,0,0,Boston,0,38,27,5,3.46,16,238,American League,51,45,0,48,1.0,73,1,27,0,.233,.273,MLB,103
1,American,8,111,2022,233,40,AL,mlb,51,.528,Boston Red Sox,.922,BOS,3,30,0.96,17,123,31,2022-06-23T00:00:00,25,1086,18,1,0,502110,.326,3,0,0,Boston,1,60,42,10,4.11,23,264,American League,60,76,1,49,1.0,123,0,40,0,.405,.394,MLB,103
1,American,1,111,2022,66,3,AL,mlb,22,.197,Boston Red Sox,.453,BOS,2,5,0.95,1,30,2,2022-06-23T00:00:00,9,333,5,0,0,608700,.136,1,1,0,Boston,0,16,8,1,4.22,1,79,American League,25,9,0,21,1.0,13,0,6,0,.160,.256,MLB,103
1,American,1,111,2022,27,4,AL,mlb,4,.630,Boston Red Sox,1.098,BOS,2,5,2.50,2,2,4,2022-06-23T00:00:00,2,112,5,0,0,608701,.407,1,0,0,Boston,0,3,5,1,3.50,3,32,American League,10,11,0,10,1.0,17,0,6,0,.417,.469,MLB,103
1,American,11,111,2022,242,21,AL,mlb,67,.421,Boston Red Sox,.724,BOS,3,48,0.58,17,119,26,2022-06-23T00:00:00,26,1103,16,3,9,596115,.223,3,0,0,Boston,0,85,42,6,4.03,15,274,American League,63,54,2,39,1.0,102,0,38,0,.289,.303,MLB,103
1,American,4,111,2022,180,31,AL,mlb,42,.417,Boston Red Sox,.735,BOS,2,29,1.38,10,72,17,2022-06-23T00:00:00,10,752,9,1,1,543877,.278,3,0,0,Boston,0,33,22,2,3.86,13,195,American League,53,50,0,58,1.0,75,1,18,0,.315,.318,MLB,103
1,American,4,111,2022,247,29,AL,mlb,69,.352,Boston Red Sox,.641,BOS,1,35,1.32,11,124,18,2022-06-23T00:00:00,15,969,20,1,0,657077,.247,4,0,0,Boston,1,30,54,7,3.63,14,267,American League,64,61,2,91,1.0,87,1,30,0,.263,.288,MLB,103
1,American,0,111,2022,6,0,AL,mlb,1,.167,Boston Red Sox,.310,BOS,0,1,4.00,0,4,0,2022-06-23T00:00:00,0,22,1,0,0,657136,.167,1,0,0,Boston,0,1,3,0,3.14,0,7,American League,2,1,0,4,1.0,1,0,0,0,.167,.143,MLB,103
1,National,12,112,2022,216,23,NL,mlb,47,.505,Chicago Cubs,.887,CHC,14,27,1.28,14,94,26,2022-06-23T00:00:00,26,954,21,5,3,575929,.269,0,0,0,Chi Cubs,0,51,32,8,3.73,13,256,National League,60,58,0,60,1.0,109,1,40,1,.301,.383,MLB,104
1,National,3,112,2022,104,17,NL,mlb,26,.365,Chicago Cubs,.620,CHC,0,8,1.19,3,44,7,2022-06-23T00:00:00,2,343,5,1,0,543228,.240,0,0,0,Chi Cubs,0,22,18,4,3.24,4,106,National League,33,25,0,31,1.0,38,0,8,0,.278,.255,MLB,104
1,National,8,112,2022,227,26,NL,mlb,50,.480,Chicago Cubs,.871,CHC,3,34,1.24,14,106,25,2022-06-23T00:00:00,36,1088,24,3,5,664023,.291,3,0,0,Chi Cubs,2,52,34,5,4.04,15,269,National League,67,66,3,62,1.0,109,2,32,2,.341,.390,MLB,104
1,National,0,112,2022,28,1,NL,mlb,6,.107,Chicago Cubs,.364,CHC,3,2,1.00,1,14,1,2022-06-23T00:00:00,4,150,0,0,0,641684,.071,0,0,0,Chi Cubs,0,14,1,0,4.29,1,35,National League,17,2,0,6,1.0,3,0,2,0,.143,.257,MLB,104
1,National,1,112,2022,132,12,NL,mlb,36,.288,Chicago Cubs,.576,CHC,3,10,1.00,6,64,7,2022-06-23T00:00:00,11,545,9,1,1,518792,.212,0,0,0,Chi Cubs,1,32,17,3,3.73,5,146,National League,46,28,0,36,1.0,38,0,15,1,.273,.288,MLB,104
1,National,2,112,2022,48,6,NL,mlb,16,.479,Chicago Cubs,.831,CHC,1,9,0.69,1,22,5,2022-06-23T00:00:00,5,211,5,2,0,664731,.271,0,1,0,Chi Cubs,1,9,8,0,3.84,2,55,National League,21,13,0,11,1.0,23,0,6,1,.297,.352,MLB,104
1,National,3,112,2022,184,28,NL,mlb,53,.380,Chicago Cubs,.685,CHC,3,18,1.19,5,63,11,2022-06-23T00:00:00,6,676,17,2,6,663538,.272,1,0,0,Chi Cubs,0,19,29,3,3.48,5,194,National League,54,50,1,63,1.0,70,1,16,3,.288,.304,MLB,104
1,National,0,112,2022,0,0,NL,mlb,0,.---,Chicago Cubs,.000,CHC,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,676714,.---,0,0,0,Chi Cubs,0,0,0,0,-.--,0,0,National League,1,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
